moyenne_R,moyenne_V,moyenne_B,std_R,std_V,std_B,pct_vert,pct_jaune,pct_sombre,pct_blanc,moyenne_H,moyenne_S,circularite,aire_relative,solidite,classe
0.6912990303132547,1.256377830865589,0.6424146769987812,0.5809683227187812,1.15542034893748,1.1258411161883823,1.2621452412568819,0.0817197696123473,-0.45384635887943736,-0.10774094348820909,0.31605960770360797,-0.08397459233404253,1.1434269842397344,1.632530008409906,1.1585875813698014,export
0.16494777673736885,-0.2672483827176805,0.4641481929733324,0.2117761551218514,0.15680628488248524,0.7457095733947859,-0.7144082949586321,-0.44989248752500977,-0.47563585725534047,-0.11355040905691327,-1.2543940359205326,-0.6373116078606337,-0.7618244225461247,0.058202699844977945,-0.15156453109908946,rejet
0.3825135581812672,0.3171857129378966,1.526968155762299,0.3942700521422768,0.7564797604451173,1.9185973577125819,-0.7240107471327055,-1.3904644293600317,-0.13016328763174187,-0.2290333906713353,-0.8462845144168638,-1.9095065273001017,-1.9644259187227417,0.41519662289388487,-1.5398227177015396,rejet
-0.2463569876687153,-0.7562876460266946,-0.40847748728673683,1.1397239091664362,0.7617577745292078,0.9813951195303918,-0.7212531553707981,-0.42159496739231145,0.687374540438895,-0.059985464098729326,-0.9084303688158647,0.41736902304978857,-1.2277697867205792,-1.3167512320273191,-0.5384117654139209,rejet
0.4389499405954026,-0.20561899178260631,-0.2822732682927755,2.162002145691931,1.5699302706300993,0.7855282800151145,-0.6728848027570123,0.30840479181202995,0.39457264472462195,0.2693313367387917,0.2997550189269317,0.49290876200169126,-0.9080030602102299,0.02302341200102451,-0.9861121076163707,rejet
-0.11191687242790897,0.22161136257895617,-0.1695828495928717,0.18369098367788542,0.48061616119735384,0.21271821447599557,0.8222124001496891,1.1045488675037756,-0.1727884155222461,-0.2290333906713353,0.2845213678720429,0.04944901786045862,0.6564059892677454,-0.13221332224262164,1.4169811301242716,rejet
0.7842076602791428,0.8730769600706658,1.2333029654971963,-0.29436613588436017,-0.06772458324285226,-0.0321954630673472,-0.6191289578497297,-0.9851374397634991,-0.6027544464152572,-0.2149651627187534,0.06724452807669765,-1.0890837759567602,0.03261979182373329,-0.06655013404928777,-0.36690501914735235,rejet
0.5884471562754986,-0.39085492164231894,-1.061543857028316,2.0131910666850175,1.7249564157012809,1.0365983879955896,-0.7173834916848536,0.45498655644525415,0.5648665037323402,-0.19430636089777756,-0.48597278040789893,1.8864382677896765,-1.2414583981024447,-0.13849791781228085,-0.9780738312070041,rejet
-0.3764721765987255,0.42898608267150684,-0.49212279288256233,-0.960223269553056,-0.9902697369269243,-0.5410634828510685,2.0683859014935235,1.3114386329757073,-0.8174318776196311,-0.22799721612426402,0.854169827406815,0.817649152009335,2.3020438467572735,2.2393907829007738,1.7759090096469288,export
-0.44273209775688765,0.23819183669803196,-0.42647099938566063,-0.6571694183609762,-0.6921134387187243,-0.13284590993430187,1.9838650337129315,1.186408021258903,-0.6597623218766155,-0.2290333906713353,0.731883763344361,0.6059564193561227,0.5350436891516034,-0.18566850295006654,-0.23427900006163083,export
